feature,feature_label,target_column,reaction_id,reaction_label,spearman_rho,abs_spearman_rho,p_value
log10_e_over_n,log10_e_over_n,rate_const_151,151,E + H2OV > H- + OH + E,0.21391903189666858,0.21391903189666858,9.818430806300232e-08
log10_e_over_n,log10_e_over_n,rate_const_018,18,AR4SM > AR4SPM,0.15384887888759857,0.15384887888759857,0.0001380778115593685
log10_e_over_n,log10_e_over_n,rate_const_128,128,E + H2O-MOMENTUM TRANSFER,0.1467841103113652,0.1467841103113652,0.00027842327011606295
log10_e_over_n,log10_e_over_n,rate_const_147,147,E + H2OV-MOMENTUM TRANSFER,0.1467841103113652,0.1467841103113652,0.00027842327011606295
log10_e_over_n,log10_e_over_n,rate_const_176,176,O2-VIB 2,-0.1334398446303919,0.1334398446303919,0.0009633167203150369
log10_e_over_n,log10_e_over_n,rate_const_086,86,H2 > H2(V=2),0.12225688979985086,0.12225688979985086,0.0025095124273982667
log10_e_over_n,log10_e_over_n,rate_const_068,68,H -ELASTIC,-0.10636870214433516,0.10636870214433516,0.00861356699451212
input_04_ar4sr,AR4SR,rate_const_080,80,H- -ELASTIC,-0.0683545966407905,0.0683545966407905,0.09191997914901257
input_03_ar4sm,AR4SM,rate_const_080,80,H- -ELASTIC,-0.0683545966407905,0.0683545966407905,0.09191997914901257
input_05_ar4spm,AR4SPM,rate_const_080,80,H- -ELASTIC,-0.0683511208135216,0.0683511208135216,0.09193654374294137
input_01_e,E,rate_const_080,80,H- -ELASTIC,-0.06834688419941796,0.06834688419941796,0.09195673721951082
input_01_e,E,rate_const_203,203,O- ELASTIC,-0.06825511521291742,0.06825511521291742,0.09239501968125284
input_01_e,E,rate_const_202,202,O+ -ELASTIC,-0.06825511521291742,0.06825511521291742,0.09239501968125284
input_01_e,E,rate_const_190,190,O2+ -ELASTIC,-0.06825511521291742,0.06825511521291742,0.09239501968125284
input_01_e,E,rate_const_167,167,H2O+ -MOMTIC,-0.06825511521291742,0.06825511521291742,0.09239501968125284
input_01_e,E,rate_const_126,126,OH- -MOM,-0.06825511521291742,0.06825511521291742,0.09239501968125284
input_01_e,E,rate_const_078,78,H+ -ELASTIC,-0.06825511521291742,0.06825511521291742,0.09239501968125284
input_01_e,E,rate_const_096,96,H2+ -ELASTIC,-0.06825511521291742,0.06825511521291742,0.09239501968125284
input_01_e,E,rate_const_100,100,H3+ -ELASTIC,-0.06825511521291742,0.06825511521291742,0.09239501968125284
input_01_e,E,rate_const_192,192,O2- -MOMENTUM TRANSFER,-0.06825511521291742,0.06825511521291742,0.09239501968125284
input_01_e,E,rate_const_066,66,AR2+ -MOMTIC,-0.06825511521291742,0.06825511521291742,0.09239501968125284
input_01_e,E,rate_const_063,63,AR+ -ELASTIC,-0.06825511521291742,0.06825511521291742,0.09239501968125284
input_05_ar4spm,AR4SPM,rate_const_190,190,O2+ -ELASTIC,-0.06823978112743484,0.06823978112743484,0.09246841714084474
input_05_ar4spm,AR4SPM,rate_const_066,66,AR2+ -MOMTIC,-0.06823978112743484,0.06823978112743484,0.09246841714084474
input_05_ar4spm,AR4SPM,rate_const_203,203,O- ELASTIC,-0.06823978112743484,0.06823978112743484,0.09246841714084474
input_05_ar4spm,AR4SPM,rate_const_202,202,O+ -ELASTIC,-0.06823978112743484,0.06823978112743484,0.09246841714084474
input_05_ar4spm,AR4SPM,rate_const_192,192,O2- -MOMENTUM TRANSFER,-0.06823978112743484,0.06823978112743484,0.09246841714084474
input_05_ar4spm,AR4SPM,rate_const_167,167,H2O+ -MOMTIC,-0.06823978112743484,0.06823978112743484,0.09246841714084474
input_05_ar4spm,AR4SPM,rate_const_126,126,OH- -MOM,-0.06823978112743484,0.06823978112743484,0.09246841714084474
input_05_ar4spm,AR4SPM,rate_const_096,96,H2+ -ELASTIC,-0.06823978112743484,0.06823978112743484,0.09246841714084474
