density_group_id,species_id,species_label,min_value,max_value,range_value,is_constant_within_group
9,36,HV_096,0.0,0.0,0.0,True
9,37,HV_106,0.0,0.0,0.0,True
9,38,HV_126,0.0,0.0,0.0,True
9,39,ONE,0.0,0.0,0.0,True
9,40,TE,0.0,0.0,0.0,True
9,41,TGAS,0.0,0.0,0.0,True
9,42,EB,0.0,0.0,0.0,True
9,43,POS,0.0,0.0,0.0,True
9,44,POSITION,0.0,0.0,0.0,True
9,45,SPEED,0.0,0.0,0.0,True
9,46,EDEP,0.0,0.0,0.0,True
9,47,PDEP,0.0,0.0,0.0,True
9,48,M,0.0,0.0,0.0,True
9,49,MIS,0.0,0.0,0.0,True
10,1,E,1.487e-07,1.487e-07,0.0,True
10,2,AR3S,0.98,0.98,0.0,True
10,3,AR4SM,7.196e-07,7.196e-07,0.0,True
10,4,AR4SR,1.464e-06,1.464e-06,0.0,True
10,5,AR4SPM,1.63e-07,1.63e-07,0.0,True
10,6,AR4SPR,1.176e-06,1.176e-06,0.0,True
10,7,AR4P,6.745e-07,6.745e-07,0.0,True
10,8,AR4D,8.562e-09,8.562e-09,0.0,True
10,9,AR^,1.476e-08,1.476e-08,0.0,True
10,10,AR2*,9.851e-07,9.851e-07,0.0,True
10,11,AR2^,3.267e-09,3.267e-09,0.0,True
10,12,H,4.407e-05,4.407e-05,0.0,True
10,13,H*,2.733e-09,2.733e-09,0.0,True
10,14,H^,1.244e-12,1.244e-12,0.0,True
10,15,H-,5.044e-09,5.044e-09,0.0,True
10,16,H2,8.284e-07,8.284e-07,0.0,True
10,17,H2*,6.048e-11,6.048e-11,0.0,True
10,18,H2^,3.788e-14,3.788e-14,0.0,True
10,19,H3^,2.922e-12,2.922e-12,0.0,True
10,20,OH,4.504e-05,4.504e-05,0.0,True
10,21,OH*,4.956e-07,4.956e-07,0.0,True
10,22,OH^,3.626e-12,3.626e-12,0.0,True
10,23,OH-,6.165e-07,6.165e-07,0.0,True
10,24,H2O,0.01991,0.01991,0.0,True
10,25,H2OV,4.075e-05,4.075e-05,0.0,True
10,26,H2O^,1.077e-08,1.077e-08,0.0,True
10,27,HO2,1.192e-11,1.192e-11,0.0,True
10,28,H2O2,3.334e-08,3.334e-08,0.0,True
10,29,H3O^,8.363e-07,8.363e-07,0.0,True
10,30,O2,5.554e-11,5.554e-11,0.0,True
10,31,O2^,2.508e-14,2.508e-14,0.0,True
10,32,O2-,1.549e-16,1.549e-16,0.0,True
10,33,O,7.967e-08,7.967e-08,0.0,True
10,34,O^,3.287e-15,3.287e-15,0.0,True
10,35,O-,9.487e-08,9.487e-08,0.0,True
10,36,HV_096,0.0,0.0,0.0,True
10,37,HV_106,0.0,0.0,0.0,True
10,38,HV_126,0.0,0.0,0.0,True
10,39,ONE,0.0,0.0,0.0,True
10,40,TE,0.0,0.0,0.0,True
10,41,TGAS,0.0,0.0,0.0,True
10,42,EB,0.0,0.0,0.0,True
10,43,POS,0.0,0.0,0.0,True
10,44,POSITION,0.0,0.0,0.0,True
10,45,SPEED,0.0,0.0,0.0,True
10,46,EDEP,0.0,0.0,0.0,True
10,47,PDEP,0.0,0.0,0.0,True
10,48,M,0.0,0.0,0.0,True
10,49,MIS,0.0,0.0,0.0,True
11,1,E,1.06e-07,1.06e-07,0.0,True
11,2,AR3S,0.9799,0.9799,0.0,True
11,3,AR4SM,4.38e-07,4.38e-07,0.0,True
11,4,AR4SR,9.243e-07,9.243e-07,0.0,True
11,5,AR4SPM,1.016e-07,1.016e-07,0.0,True
11,6,AR4SPR,7.307e-07,7.307e-07,0.0,True
11,7,AR4P,1.337e-07,1.337e-07,0.0,True
11,8,AR4D,2.707e-09,2.707e-09,0.0,True
11,9,AR^,1.75e-09,1.75e-09,0.0,True
11,10,AR2*,8.138e-07,8.138e-07,0.0,True
11,11,AR2^,7.716e-10,7.716e-10,0.0,True
11,12,H,4.891e-05,4.891e-05,0.0,True
11,13,H*,3.139e-09,3.139e-09,0.0,True
11,14,H^,2.003e-13,2.003e-13,0.0,True
11,15,H-,3.419e-09,3.419e-09,0.0,True
11,16,H2,9.248e-07,9.248e-07,0.0,True
11,17,H2*,6.97e-11,6.97e-11,0.0,True
11,18,H2^,5.128e-15,5.128e-15,0.0,True
11,19,H3^,3.404e-12,3.404e-12,0.0,True
11,20,OH,5.01e-05,5.01e-05,0.0,True
11,21,OH*,3.767e-07,3.767e-07,0.0,True
